brand,category,confidence,user
Paulaner,Alcoholic Beverages,100,68
Northeastern University,Education,100,84
Northeastern University,Education,84,84
LG,Consumer Electronics,100,84
Nike,Fitness Apparel,100,84
Nike,Fitness Apparel,97,84
Under Armour,Fitness Apparel,100,84
Under Armour,Fitness Apparel,100,84
Instagram,Social Network,100,84
Lexus,Automobiles,100,84
Adidas,Fitness Apparel,100,84
Boston Red Sox,Sports League,97,84
Nike,Fitness Apparel,100,84
Nike,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
New Balance,Fitness Apparel,100,84
Captain America,Superhero,100,30
WeWork,Professional Services,100,30
Jack Daniel's,Alcoholic Beverages,100,30
Twitter,Social Network,100,30
Magic Hat,Alcoholic Beverages,100,37
New York Jets,Sports League,100,30
New York Jets,Sports League,100,30
New York Jets,Sports League,100,30
Disney,Media (communication),100,37
New England Patriots,Sports League,99,37
Fanta,Soda,100,37
Disney,Media (communication),100,37
Disney,Media (communication),99,37
Northeastern University,Education,100,39
Northeastern University,Education,100,39
Coldstone Creamery,Fast Food,100,37
Levis,Clothing,85,88
Ford,Automobiles,89,88
Verizon,Telecommunication,100,88
Ford,Automobiles,100,88
Callaway,Sports and Outdoors,100,88
Dunkin' Donuts,Coffee,100,88
Ford,Automobiles,100,88
Narragansett Brewing,Alcoholic Beverages,100,88
Superman,Superhero,100,57
WWE Entertainment,Sports League,100,57
Facebook,Social Network,100,57
Scott Toilet Paper,Housekeeping,100,57
Scott Toilet Paper,Housekeeping,100,57
Scott Toilet Paper,Housekeeping,100,57
Scott Toilet Paper,Housekeeping,84,57
Ben & Jerry's,Dairy Product,99,71
Sephora,Luxury Goods,100,71
Pillsbury,Cooking and Baking,100,57
Starbucks,Coffee,100,71
NARS,Cosmetics,100,71
Omega,Luxury Watches,92,90
Kia,Automobiles,81,90
The North Face,Sports and Outdoors,100,90
Delta Airlines,Air Travel,82,90
Honda,Automobiles,96,90
Snickers,Candy,100,22
Starbucks,Coffee,100,22
Harpoon Brewery,Alcoholic Beverages,100,82
Boston Bruins,Sports League,100,82
Boston Bruins,Sports League,100,82
Shaws,Supermarket,100,82
Reese's Peanut Butter Cups,Candy,100,82
Reese's Peanut Butter Cups,Candy,100,82
Reese's Peanut Butter Cups,Candy,86,82
Dole,Food,100,82
Guinness,Alcoholic Beverages,100,82
Northeastern University,Education,97,77
Delta Airlines,Air Travel,100,77
Ford,Automobiles,100,77
Honda,Automobiles,100,77
Nintendo,Video Games,83,77
Whataburger,Fast Food,86,77
Boston Bruins,Sports League,100,77
Boston Bruins,Sports League,100,77
Boston Bruins,Sports League,100,77
