age,ethnicity,ethnicity_confidence,gender,gender_confidence,human_confidence,tag_location,url,user
20-29,black or african american,99,male,84,99,"[45, 25, 14, 14]",9278,59
13-19,black or african american,99,male,99,98,"[12, 19, 14, 15]",9278,59
13-19,white,57,male,99,96,"[72, 25, 12, 12]",9278,59
20-29,black or african american,97,male,99,98,"[35, 39, 15, 14]",13861,59
30-39,white,96,male,99,95,"[59, 47, 15, 15]",13861,59
40-49,white,99,male,90,84,"[39, 42, 21, 21]",4404,59
13-19,white,90,female,67,92,"[47, 33, 17, 17]",13016,59
0-12,black or african american,99,male,99,99,"[39, 32, 21, 21]",3832,59
20-29,white,71,male,99,99,"[16, 13, 25, 25]",3832,59
13-19,white,65,male,99,82,"[73, 11, 21, 21]",3832,59
13-19,white,99,male,99,55,"[19, 33, 5, 5]",953,59
20-29,hispanic or latino,44,female,99,99,"[35, 32, 10, 12]",1062,38
20-29,white,99,female,99,99,"[18, 34, 8, 10]",1062,38
30-39,white,91,female,99,99,"[72, 29, 8, 10]",1062,38
13-19,white,48,female,98,78,"[55, 34, 8, 10]",1062,38
40-49,white,96,female,95,63,"[19, 40, 31, 24]",12202,38
50-59,white,99,female,99,99,"[56, 36, 25, 25]",14945,96
50-59,white,99,male,99,98,"[16, 6, 31, 31]",14945,96
13-19,white,83,female,99,99,"[55, 30, 16, 21]",9265,38
40-49,white,46,male,84,99,"[22, 11, 9, 12]",9265,38
13-19,white,87,female,85,82,"[20, 42, 19, 25]",9265,38
13-19,white,69,female,99,96,"[22, 22, 53, 42]",9044,59
30-39,black or african american,61,male,99,99,"[54, 31, 6, 6]",9124,59
20-29,black or african american,94,male,99,50,"[57, 6, 12, 9]",14470,59
30-39,black or african american,94,male,88,99,"[68, 37, 8, 8]",6123,59
30-39,white,99,female,60,99,"[17, 33, 8, 8]",6123,59
20-29,black or african american,85,male,99,99,"[37, 35, 7, 7]",6123,59
30-39,black or african american,98,male,83,88,"[51, 39, 7, 7]",6123,59
20-29,black or african american,98,male,99,86,"[43, 12, 6, 8]",14538,59
20-29,asian,94,male,90,99,"[65, 20, 15, 15]",799,59
20-29,asian,99,male,99,99,"[3, 19, 17, 17]",799,59
13-19,black or african american,99,male,99,92,"[38, 27, 12, 12]",799,59
20-29,hispanic or latino,39,male,91,99,"[22, 27, 16, 17]",11168,98
